path	mean	mean-minus-CI	mean-plus-CI	CI
quantum	ag-news	ember-v1	5	1102.8333776473999	1094.7498170873137	1110.916938207486	8.08356056008612
quantum	amazon-fine-food-reviews	bert-base-uncased	8	860.317383257548	859.1350625902244	861.4997039248717	1.1823206673236173
quantum	food-com-recipes-user-interactions	ember-v1	8	684.4209777832032	674.3712844771724	694.470671089234	10.049693306030854
quantum	labelled-newscatcher-dataset	fasttext	3	960.9608990271886	960.1849705657745	961.7368274886027	0.7759284614141022
quantum	amazon-reviews	fasttext	3	2684.3011397282285	2640.8332383747224	2727.7690410817345	43.467901353506115
quantum	labelled-newscatcher-dataset	bert-base-uncased	3	963.0212208429972	960.9270291468044	965.11541253919	2.094191696192753
quantum	food-com-recipes-user-interactions	bert-base-uncased	3	700.5460530519485	699.7858474733122	701.3062586305849	0.7602055786363445
quantum	huffpost-news	bert-base-uncased	3	797.7073047320048	796.9725979983017	798.4420114657079	0.734706733703114
quantum	huffpost-news	bert-base-uncased	8	740.5823814153671	739.8126786834189	741.3520841473153	0.7697027319481747
quantum	huffpost-news	ember-v1	3	801.469234085083	799.857229366952	803.0812388032141	1.612004718131058
quantum	amazon-fine-food-reviews	fasttext	5	860.6906983772914	859.8573882891525	861.5240084654303	0.833310088138876
quantum	huffpost-news	fasttext	5	739.1755695660909	737.5151644871795	740.8359746450022	1.6604050789113765
quantum	amazon-reviews	fasttext	5	2567.5097834189733	2392.6913558322412	2742.3282110057053	174.81842758673213
quantum	ag-news	bert-base-uncased	8	1093.2376410484314	1076.5341779693301	1109.9411041275328	16.703463079101297
quantum	amazon-reviews	fasttext	8	2557.9387086550396	2403.110816412612	2712.766600897467	154.8278922424273
quantum	food-com-recipes-user-interactions	ember-v1	5	673.6878202915192	663.3238299597795	684.0518106232589	10.36399033173972
quantum	amazon-reviews	bert-base-uncased	3	2394.511258570353	2272.73379240599	2516.2887247347167	121.77746616436322
quantum	labelled-newscatcher-dataset	fasttext	8	894.8858926773071	893.8814187417546	895.8903666128596	1.0044739355524612
quantum	amazon-reviews	bert-base-uncased	8	2357.7217251777647	2333.676915417566	2381.7665349379636	24.044809760198998
quantum	labelled-newscatcher-dataset	fasttext	5	890.0071986277898	888.9624863765173	891.0519108790622	1.0447122512725024
quantum	food-com-recipes-user-interactions	ember-v1	3	729.6581640720367	715.9630671819729	743.3532609621005	13.695096890063862
quantum	amazon-fine-food-reviews	bert-base-uncased	5	857.5734199841817	856.1397366723952	859.0071032959681	1.4336833117864574
quantum	labelled-newscatcher-dataset	ember-v1	5	910.5731604099274	898.9779899217522	922.1683308981026	11.59517048817515
quantum	labelled-newscatcher-dataset	ember-v1	3	982.8476333697637	967.7055323657304	997.989734373797	15.142101004033247
quantum	labelled-newscatcher-dataset	ember-v1	8	923.142761961619	910.4120225718127	935.8735013514254	12.73073938980631
quantum	food-com-recipes-user-interactions	bert-base-uncased	5	645.2144134839376	644.4537934154005	645.9750335524748	0.7606200685371042
quantum	food-com-recipes-user-interactions	fasttext	8	653.301584037145	652.3186466412286	654.2845214330613	0.9829373959163887
quantum	amazon-fine-food-reviews	ember-v1	8	868.8739479541779	866.9684973241378	870.7793985842179	1.9054506300400762
quantum	huffpost-news	bert-base-uncased	5	737.8308683474859	736.9465495662495	738.7151871287223	0.8843187812363484
quantum	food-com-recipes-user-interactions	fasttext	5	651.4803164641063	650.3401092318257	652.6205236963868	1.1402072322805175
quantum	amazon-fine-food-reviews	bert-base-uncased	3	933.4301871697108	930.85750024451	936.0028740949117	2.5726869252008098
quantum	huffpost-news	fasttext	3	795.3057776530584	793.6350005721386	796.9765547339782	1.670777080919886
quantum	ag-news	ember-v1	3	1208.5172048807144	1200.71846845294	1216.3159413084888	7.798736427774337
quantum	food-com-recipes-user-interactions	bert-base-uncased	8	653.7686606963475	652.8961801887676	654.6411412039274	0.872480507579852
quantum	huffpost-news	ember-v1	5	743.7726770957311	742.5006041602979	745.0447500311642	1.2720729354330933
quantum	labelled-newscatcher-dataset	bert-base-uncased	8	899.4803033510844	898.0322079798075	900.9283987223614	1.4480953712769973
quantum	amazon-reviews	bert-base-uncased	5	2352.163829000791	2347.241544321223	2357.0861136803587	4.922284679567665
quantum	amazon-reviews	ember-v1	8	4106.681860113144	4085.853944908785	4127.509775317502	20.827915204358824
quantum	amazon-reviews	ember-v1	3	4318.778056335449	4196.992469444182	4440.5636432267165	121.78558689126747
quantum	ag-news	fasttext	5	1105.2580320676168	1099.1084795416896	1111.407584593544	6.1495525259271195
quantum	amazon-reviews	ember-v1	5	4063.3119831244153	4043.3287486920767	4083.295217556754	19.983234432338733
quantum	huffpost-news	fasttext	8	745.7933860143025	743.9826333036641	747.604138724941	1.8107527106384487
quantum	ag-news	fasttext	3	1182.2333252191543	1179.1293983279263	1185.3372521103822	3.103926891227969
quantum	ag-news	ember-v1	8	1122.5189645767211	1114.2587578290565	1130.7791713243857	8.260206747664554
quantum	ag-news	bert-base-uncased	3	994.8089497248332	934.4103196619161	1055.2075797877503	60.39863006291708
quantum	amazon-fine-food-reviews	ember-v1	5	859.4269618829092	857.9617309610969	860.8921928047214	1.4652309218121802
quantum	ag-news	bert-base-uncased	5	1095.5647446950277	1090.8715278221853	1100.25796156787	4.69321687284241
quantum	huffpost-news	ember-v1	8	745.7289581696192	744.2983315532937	747.1595847859447	1.430626616325527
quantum	amazon-fine-food-reviews	ember-v1	3	929.3853134552638	927.3237453120374	931.4468815984902	2.0615681432263395
